Question,Answer,,
Apa itu nawatech?,"Nawatech, perusahaan pengembangan perangkat lunak yang siap membantu mengembangkan bisnis Anda dengan solusi teknologi.",,
Siapa CEO Nawatech?,CEO atau direktur dari perusahaan nawatech adalah arfan arlanda.,,
Dimana saya bisa mengkontak Nawatech?,Untuk mengkontak nawatech anda bisa klik link dibawah ini https://www.nawatech.co/contact-us,,
Layanan apa saja yang diberikan nawatech?,"Layanan Terkelola, Layanan konsulasi, Inovasi, Integrasi sistem ",,
Siapa Nawatech ?,Kami adalah kumpulan talenta yang bersemangat yang mengkhususkan diri dalam menciptakan solusi inovatif dan berdampak bagi bisnis.,,
Layanan Kami,Layanan kami dirancang untuk membantu bisnis tumbuh menggunakan teknologi terkini dan mengoptimalkan proses mereka untuk memaksimalkan efisiensi dan profitabilitas.,,
Tahun berapa Nawatech didirikan?,Nawatech didirikan pada tahun 2016.,,
Produk apa yang dikembangkan Nawatech yang diakuisisi oleh Sampoerna Telecom (Net1)?,Produk OOH digital yang dikembangkan Nawatech diakuisisi oleh Sampoerna Telecom (Net1).,,
Penghargaan apa yang diterima Nawatech pada tahun 2020?,Nawatech menerima Microsoft Partner of the Year Award 2020 untuk Partner for Social Impact.,,
Perusahaan mana yang menjalin kemitraan jangka panjang dengan Nawatech pada tahun 2018-2019?,Nawatech menjalin kemitraan jangka panjang dengan Astra Group pada tahun 2018-2019.,,
Spesialisasi apa yang dicapai Nawatech pada tahun 2024 terkait dengan Kubernetes di Azure?,"Pada tahun 2024, Nawatech menjadi perusahaan lokal pertama yang memenuhi syarat sebagai Spesialisasi Lanjutan dalam Kubernetes di Azure untuk Data & AI dan Inovasi Digital & Aplikasi.",,
